Report of all payments made by GLA for value equal to or greater than £ 250.00 Excl. VAT,,,,,,,,,
Reporting Period : ,7,,,,,,,,
Start Date:,"15th September, 2013",,,,,,,,
End Date:,"12th October, 2013",,,,,,,,
Financial Year :,2012 / 13,,,,,,,,
,,,,,,,,,
Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,,,
10005804,GREATER LONDON AUTHORITY,542320,Shared Services Fees,5107960135,"4,516,218.19",03-Oct-13,,,
18000062,SOUTHERN HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018649,"2,882,250.00",03-Oct-13,,,
10016643,AMAS LTD,510400,Commercial Property Rent,1900018635,"1,673,907.50",01-Oct-13,,,
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018677,"1,655,334.00",11-Oct-13,,,
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018632,"1,244,997.00",01-Oct-13,,,
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018672,"1,156,250.00",10-Oct-13,,,
15500235,LONDON BOROUGH OF TOWER HAMLETS,544075,Grants to External Organisations,5107963634,"782,338.00",09-Oct-13,,,
15050001,SQUIRE SANDERS (UK) LLP,542420,Claim Settlements,1900018671,"774,859.96",09-Oct-13,,,
10020764,BROADWAY HOMELESSNESS AND SUPPORT,542800,Hsg-Rough Sleeping,5107974335,"711,351.00",02-Oct-13,,,
18000079,TELFORD HOMES PLC,544078,HSG Grants to Non-Registered Providers,1900018660,"603,529.00",08-Oct-13,,,
18000062,SOUTHERN HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018648,"507,000.00",03-Oct-13,,,
10002766,LONDON COUNCILS,550035,CCS Adjudication Services Contract,5107964711,"486,608.41",23-Sep-13,,,
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018673,"472,500.00",10-Oct-13,,,
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018634,"424,001.00",01-Oct-13,,,
10022044,QUINTAIN MERIDIAN LIMITED,550010,Contracted Services Buildings,5107964392,"394,347.00",25-Sep-13,,,
15050001,H M REVENUE & CUSTOMS,544070,Miscellaneous Finance Expenses,1900001088,"392,287.00",23-Sep-13,,,
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107973823,"384,456.62",01-Oct-13,,,
10022120,ONE HOUSING GROUP LIMITED,542800,Hsg-Rough Sleeping,5107949622,"330,615.00",25-Sep-13,,,
10009307,FILM LONDON LTD,544075,Grants to External Organisations,5107976126,"295,000.00",07-Oct-13,,,
10022044,QUINTAIN MERIDIAN LIMITED,550010,Contracted Services Buildings,5107970658,"271,898.27",03-Oct-13,,,
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107969644,"252,537.00",26-Sep-13,,,
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018581,"218,856.00",25-Sep-13,,,
15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5107976385,"203,788.35",07-Oct-13,,,
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107969615,"179,191.00",26-Sep-13,,,
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107969645,"169,113.00",26-Sep-13,,,
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018633,"157,800.00",01-Oct-13,,,
10002550,CITY OF WESTMINSTER,544075,Grants to External Organisations,5107947501,"153,384.00",16-Sep-13,,,
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107975654,"147,977.42",07-Oct-13,,,
10019301,THAMES REACH,542800,Hsg-Rough Sleeping,5107955075,"146,430.00",02-Oct-13,,,
10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5107963802,"144,392.60",09-Oct-13,,,
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018580,"143,612.00",25-Sep-13,,,
13000399,VOLKER FITZPATRICK LTD,550010,Contracted Services Buildings,5107864405,"121,002.53",18-Sep-13,,,
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107969298,"119,057.63",26-Sep-13,,,
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018675,"115,368.00",11-Oct-13,,,
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018651,"100,975.00",04-Oct-13,,,
