,Report of all payments made by GLA for value equal to or greater than £ 500.00 Excl. VAT,,,,,,,
,Reporting Period : ,13,,,,,,
,Start Date:,"4th March, 2012",,,,,,
,End Date:,"31st March, 2012",,,,,,
,Financial Year :,2011 / 12,,,,,,
,,,,,,,,
,Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,
,10016643,AMAS LTD,510400,Commercial Property Rent,1900013779,"1,673,907.50",21 Mar  2012,
,10006216,LONDON BOROUGH OF SOUTHWARK,544075,Grants to External Organisations,5107516794,"800,000.00",15 Mar  2012,
,10014839,LOCOG,544075,Grants to External Organisations,5107546941,"700,000.00",16 Mar  2012,
,10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5107548356,"412,344.00",27 Mar  2012,
,15500401,LONDON BOROUGH OF SOUTHWARK,544075,Grants to External Organisations,5107531431,"407,356.00",19 Mar  2012,
,10014839,LOCOG,544075,Grants to External Organisations,5107541506,"384,500.00",12 Mar  2012,
,10014839,LOCOG,544075,Grants to External Organisations,5107541504,"367,700.00",12 Mar  2012,
,10009307,FILM LONDON LTD,544075,Grants to External Organisations,5107556774,"295,898.34",27 Mar  2012,
,10021297,COVENTRY CITY COUNCIL,544075,Grants to External Organisations,5107531561,"270,000.00",05 Mar  2012,
,10021319,GLASGOW CITY COUNCIL,544075,Grants to External Organisations,5107545202,"270,000.00",14 Mar  2012,
,10021411,NEWCASTLE CITY COUNCIL,544075,Grants to External Organisations,5107547216,"270,000.00",19 Mar  2012,
,10020714,BRITISH FASHION COUNCIL,544075,Grants to External Organisations,5107554558,"266,343.54",27 Mar  2012,
,10021206,M INTEGRATED SOLUTIONS PLC,550010,Contracted Services Buildings,5107556711,"250,000.00",27 Mar  2012,
,10005728,ARCO (WATFORD) LTD,532000,Uniforms,5107531303,"245,000.00",21 Mar  2012,
,10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107536283,"222,769.00",21 Mar  2012,
,10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5107548359,"222,031.00",27 Mar  2012,
,10002247,COI COMMUNICATIONS,540200,Marketing Design & Artwork,5107536343,"208,293.50",21 Mar  2012,
,10005992,LONDON BOROUGH OF GREENWICH,544075,Grants to External Organisations,5107531849,"179,046.63",09 Mar  2012,
,10016872,G4S ASSESSMENT SERVICES (UK) LTD,504200,Staff Training,5107548169,"169,236.00",21 Mar  2012,
