Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,17883,-12648.00,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,17891,-34.56,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2014,Conference and Exhibition Services,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,EVENT MARKETING SOLUTIONS LTD,24031,-5210.00,Higher Education Other: HEGIF-Conference and Exhibition Services,CH65 4LQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/07/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,34058,-2261.15,LSC Properties-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/07/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,34058,4796.95,LSC Properties-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,38571,2220.00,F&C Devolved Admin-Central Telecommunications Services,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Learning and Dev - CS Skills,Business & Local Growth - Digital Economy Unit,CAPITA BUSINESS SERVICES LTD,40292,148.00,BLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,ADP Training,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,40295,686.20,P&S Non Devolved Admin-ADP Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,40460,-27535.26,F&C Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,40460,15.00,F&C Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,40460,50825.66,F&C Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,40460,55040.52,F&C Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/07/2014,ICT Business Specific Application Services,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,40770,0.07,F&C Devolved Admin-ICT Business Specific Application Services,CF31 9AP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/07/2014,ICT Business Specific Application Services,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,40770,53148.21,F&C Devolved Admin-ICT Business Specific Application Services,CF31 9AP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,LEVEL 3 COMMUNICATIONS UK LTD,42459,1856.39,F&C Devolved Admin-Central Telecommunications Services,RG24 8NA,VENDOR,,,
